0	其实我愿意吞声忍气，但却怕被看不起。
1	跟自己说对不起，总是为难自己，让自己生活在水深火热中，对不起。我要买漂亮的衣服来犒劳自己。
2	多么万能的一个词
3	虽然肚子疼，可还是要谢谢你，爱你！
4	今天上主日学的小朋友来得很早。WL没来，我组织带敬拜。有个小男孩说：“章姐姐做什么会计啊，不做老师可惜了。”而且我还收获了，他们为我的祷告祝福。哈哈！
5	新年第1天上班就着要着罚款加批评要大胆树起来[hold住]
6	我从小就立有宏愿，这个愿望时常使我无法在夜里安眠，一想起来就激动不已，当然，这个愿望是不被一般人所理解的，我也常常感到世俗的压力。但我从未放弃努力，我的愿望是可以在全世界任何一个地方任何一个角落随地大小便。
7	为生存而工作，那是艰苦！为理想信念而工作，那是幸福！
8	此时此刻，我突然觉得自己感觉不到幸福了！！！[泪][泪][泪][泪]只有泪眼汪汪能代表我的心情，感觉不到爱了啊！
9	这辈子一定要交一个华子一样的朋友！哥们儿喜欢杨晓芸，华子放弃杨晓芸；哥们结婚要借钱二话不说拍出来两万；向南把钱包甩他身上的时候也不记恨哥们T0T就是一个这么好的人最后还被自己同甘苦共患难的哥们给敲了媳妇╮(╯▽╰)╭
10	我有什么资格说人家，自己都做不好，废话一大堆，又不懂做人，不懂说话，做事又不积极，自己知道还不之悔改，我对自己真的很失望，别人说的对的还要去狡辩，真是无药可救了，教我又不听，等到教你的人都绝望了那就真的没救了，吴首高啊你要等什么时候才能进步呢，，，
11	我把报名的文档弄不见了(＿＿)ノ｜壁[伤心]
12	还是害怕夜深人静时总想起你还是害怕不经意听见你的消息
13	每天可以看到新人的幸福的笑容~~~才是真的幸福~~~天下有情人总成眷属~~~~
14	到底是真是假啊是真是假啊？
15	,太行影楼用品对广大客户的服务还没有做到最好！
16	小编推荐起床利器：志高大1P冷暖空调。集冷触媒技术，智能水洗，防霉运转，广谱抗菌于一身，此外，制热强劲，具有热量大、安全性高、加热速快的特点。
17	新桓结衣和锦户亮…小心脏，哇凉哇凉的
18	：我们学校澡堂一贯很挤，最多的时候五个人用一个喷头都有，然后今儿清明放假，大家都回家了，洗澡的人特少，姐一个人用五个喷头都没问题，结果！到了澡堂才发现我居然忘了带校园卡，最后在周围空着好多喷头的情况下，我跟舍友挤一个！[泪]，所以我就是没这个命吗？？！！
19	希望头发可以快点长长，这发型忒奇怪了T_T
20	突然想跟自己说声对不起，对不起，再也找不回原来的自己。
21	【学会听不到】你做的越对，背后说你的人越多。你过的越好，背后讥讽你的人越多。你变得越强，背后打击你的人越多。你生得越美，背后嘲笑你的人越多。但又有什么关系呢？只要我和家人爱人每天都能幸福下去，这就足够了。发生在背后的事情，就算我都清楚的知道，也会清楚的“听不到”！
22	老太太摔倒喊附近的人帮扶起来，但是把她拉起来了，但不让帮者离开，说做好事的人撞倒她，要求赔偿，还住到人家家里，这是不是无奈，以后好事谁还敢做。
23	第十一天，在12号之前加油↖(^ω^)↗
24	今天，一个医生朋友无意中透露出：有处方权的医生坐一天门诊竟然能有四位数的收入！默默地，我好像明白了什么……[汗]
25	幸福是比较级，但并非与别人比较，而是与自己曾经的不幸福比较。一个人只要经历过坏透了的日子，就会真正懂得感激幸福。
26	良禽择木而栖，士为伯乐而荣！
27	身边站了一个娘娘腔，我想死。听到他说话我就想吐。[怒]尼玛，可以少说句话嘛。笑声真恶心，我想吐！赶紧到郑州吧，赶紧下去吧，别祸害我啦！一直在说结婚，怎么会有女的愿意嫁给娘娘腔呢！费解。。[晕]
28	告诉你我爱着你坚持到底晨
29	我觉得我很对不起一个人，没能多陪陪她
30	就你懂事
31	喜欢你吃我喜欢吃的东西，喜欢你陪我看我喜欢的风景，喜欢把我的世界全给你，喜欢你带我看全世界，喜欢打喷嚏的时候心里的你说你想我，喜欢你说喜欢我，喜欢我们慢慢像一个人，独立又统一。
32	以后又会是同学喏。
33	有的明明不想按照别人的期待做事却偏偏又很在意外人的异样眼光怎么样才能像我见到的那些人一样为自己而活还是太过懦弱不够洒脱我希望人生不需要牺牲来实现成功等有勇气那一天播主专业会诞生一只奇葩留着很短的头发却可以走的很远
34	别人空间都不能随便评价了，就发了个流汗的表情，结果我和发说说的人就有一腿了？这是什么世道！为什么个个都要怀疑我？难道我真长了一张所谓的“婊子脸”吗？
35	哎哟！好饿新旧两年身无分文呆在陌生又散尽人性熟悉的陌生的人楼下绝望乞盼这饲养了三年的看着象人的畜生会良心发现…！
36	这一刻，我觉得特别迷茫。感觉自己整个人生都扭曲了。我以为我以为的永远都不会变，可是事实就是这样给我血淋淋的一记耳光。
37	手机闹钟居然不响!!赶作业!!
38	要洗澡了，给包子脱成小光膀子，忍不住亲了亲小肚肚，人家扭捏了一下，不好意思地说：因为我好可爱啊！
39	真的很喜欢,但只敢放在心里面.
40	熊孩子们为什么隔几个小时就来问我卷子批好了没，难道各个都觉得自己考了100分吗！看到卷子上那么差的成绩看他们还急不急！今天终于也体会到了什么叫做
41	无论怎样，还是希望能够快乐简单，那些年那句话还是属于U
42	你不是奇怪。你只是和其他人都不一样。
43	女人，有你的关心。
44	陆涛没有夏琳徐志海等等周围一切的人包容他给他一次又一次机会他就是个自负的渣，有才华的多了，不缺他一个。想跳高还不想蹲下，有弹簧吗？
45	一颗心可以很小，也可以无限大，做人的格局大些，看远些，心也宽，路也宽，也就快乐些，也才可以走远些。
46	我两天都不在家。。好像没喂苍井空呢。。。[可怜][可怜]
47	你赚钱啦赚钱啦你不知道怎么去花,你左手捧个破苹果右手拿根烂黄瓜。
48	不帮我订东西，我就要自己的卡订。尼玛结果现在才知道卡都取消了，钱全存定期。现在又说钱是TA的了。呵，我屮当初就不该把卡给你。老子的钱都好意思去抢啊，赚个屁钱你要老子去卖吗？你养老子还喊老子去赚钱。我操操操操操操操操操操操操钱没了卡也不给存折也不给尼玛的！真他妈让老子伤心！
49	就当我是废人也为你改变过
50	碰上这么个下猪的人着实受不了。。。
51	我们家如此沉默，只会用行动表达出来的臭凌祥，竟然打电话给我说好想好想我，[爱你][爱你][可爱]我知道我们都很爱。很幸福哦，49天
52	你不理我的时候，我总是喜欢去看儿子来缓解不愉快，可是现在怎么看儿子你都不理我。
53	相聚离开都有时候，临走时信阳下雨了，一个电话三分钟不到你准确无误找到我，感动。知道我不安承诺我会去川看望我甚至陪我军训，感动。同时还有一个为了送我上学你匆急从北京赶回来，感动。
54	学校是一个什么样的地方呢？是即使你走在深夜无人的校园，也不会觉得害怕。
55	希望你能来'真的好想你`好想抱你--李龙
56	对这俩货没话说
57	被阅读XX次的意思是：呵呵[怒]，被那么多人阅读又如何，还不是没什么人理你。
58	好久没有这么扬眉吐气了哇哈哈哈
59	【2014女朋友标准出炉】身高162-173cm、体重50-61kg、发型长发，性格温和、不吸烟、不喝酒、不乱性、爱运动、会煮饭、会关心人，孝敬父母，热爱动物、举止斯文，不说脏话、谦虚、不乱猜疑、不翻男朋友手机，会时不时给男朋友一个惊喜，不忙会顾家。
60	夜深忽梦少年事，惟梦闲人不梦君。
61	明天公司年会，行政过来问我们想喝什么饮料下午好去买，大家七嘴八舌的要果粒橙什么的果汁饮料，我们领导说要喝可乐，不知怎么我就二了一把说可乐杀精，大家都凌乱了，我们二货领导还弱弱的回了一句，没事儿我已经有孩子了了了了了了。。。。。。
62	，就是一股脑的扎下去。
63	真的很奇怪ㄟ！昨天明明说好（而且是一再的确定）要带我去看手机..然后今天（刚刚）又说：「什么？我哪有说！而且妳是要我累死哦？明后天好吗！？」每次都这样！为什么要这样！明明说好的！但总是让人失望！明后天我相信妳又有更多借口！「说到请做到！不要答应别人，然后最后只能让人失望！」
64	像我这样情绪不稳定，时不时对生活绝望，时刻在担心朋友被自己情绪影响的人，是不是不该有朋友，不可能快乐，不配被爱
65	觉得这班都忒矫情…都把自己当人物了吧…
66	测试一下[最右]
67	昨天去商场很纠结要不要换手机柜员可劲推荐vivo主要是她问我“是刚高考完吧学生们现在都用这款性价比比较高”想想心里还有点小开心呢～【最终我还是没买【其实那款机子还真挺不错【但我其实想买苹果六【没用坏的旧机怎么办
68	一家人开开心心的，就是最大的幸福！[哈哈][哈哈][哈哈]
69	一点点你的微笑已经让我觉得温暖
70	虽然每次会知道这样的事情其实没什么，但是心里就是会很不舒服，很难去解释的，干嘛非要那么不小心非要让人家那么尴尬呢？这些人啊……
71	移动太可恶，现在非常理解为什么老爸坚持用联通了，可以要用飞信还不能换成其他的==联通电信快点发明一个飞信吧，打败移动，哼~
72	姓侯的我今年最大的愿望就是你去死，我诅咒你开车出车祸撞死,走路让车撞死,不得好死,你死了大家都解脱了,你赶紧去死吧，我天天会诅咒你不得好死！
73	[睡觉][睡觉]唉～今天肿么了要怎样？？？[汗][黑线][黑线]=_=[奥特曼][奥特曼]
74	禁补课禁月考我操高考个鸡吧鸟
75	做梦都是你
76	屌丝的种族天赋，把所有妹子都变成女神。
77	为什么要告诉我好吧我也许只是写作业变得迷糊了我该睡了不要想了去年我也是通宵只为最后一天去见某个人
78	坏事情难免让人难过
79	女为悦己者容.这句话的意思.我还是从<<聊斋志异>>里一个女鬼那里学来的呢
80	年少时的情感本就不明朗，甚至有些时候，失去比得到的更显得深刻。。。
81	对于事情一无所知的你，有什么资格这样诋毁谩骂我！可怜之人必有可恨之处，做人如斯，真是让我失望！只能说，谢谢你让我看到了人性的卑劣！
82	据说，在同一间寝室里。必有一个学霸，一个学渣，一个吃货，一个睡神，一个夜猫子，一个2货，一个“歌神”，一个自恋狂等等。你可能会觉得，咦？我们宿舍没这么多人呀，放心吧，总有奇葩能兼容众多特性，成为你们寝室里的集大成者[哈哈][哈哈][哈哈]
83	周末谁个懒觉到800，只听洗手间咣当一声漏水了，赶紧打电话给水管师傅来修理，洗手间不能用整个人蓬头垢面狼狈不堪。[泪]特么丢死人呐~[抓狂]
84	收到神秘的快递[哈哈][哈哈][哈哈]好嗨皮[馋嘴][馋嘴]嘻嘻*^_^*吃戈饭去了[嘻嘻]
85	刚刚看江苏卫视的春晚感动的哭了，老人家盼望着孙女回家过年，儿子期待爸爸妈妈一直在身边，可是为了生活，为了生存，不得不狠心抛下这份思念[泪][泪][泪]
86	关键是我心里拥有太多关于你的回忆，不想忘记
87	热！浑身疼！饿！闹心！睡不着！
88	就这样爱你爱你爱你随时都要一起我喜欢爱你外套味道还有你的怀里[太开心][太开心][太开心]晚安[月亮][爱你]
89	日本电影总是又臭又长，但是感情描述非常细腻，整部电影几乎全由小孩子演出来的，离婚后一对兄弟各自跟了爸妈，然后他们的内心状况。小田切让演了一个废柴父亲生活起居还要孩子照顾，日本的小孩非常懂事有礼貌阿。他们不是让父母照顾的宝宝，还从小自己洗衣服打扫屋子哈哈。
90	快放学了耶耶耶痛苦的8天终于是过去了[兔子][兔子][兔子]
91	每次都是这幅屌丝样你敢不敢来点新名堂让我冒更大的火嘛
92	看样子今年运气是真转好了啊，四月底，手气超好，牌场得意，五月初，桃花运来了，情场得意！看样子我这朵老蔫吧花儿也要重新绽放了啊，走，又看漂亮MM去啦····[威武][浮云]
93	路遇极其热情极其萌的小狗狗。
94	宾语是我还是有人陪的感觉[悲催]
95	……TB看到一个特别（）的七秀号出售，干将莫邪，幽月乱花，大扇子，各种445，PVPPVE全有，还有里飞沙，总共，2W……
96	[笑哈哈][笑哈哈][噢耶][噢耶]晚安。
97	现在怎么那么多闲着没事做，天天说三道四的人啊？别人生活舒服点，就所三到四，嗨，都是啥人啊。
98	活该!蔡慧娴你活该!
99	脸书这种高风险社交网路对我这种反社交人群真是负担，今儿又有人试图重设我的脸书密码，搞得我只好又去重设了一次。上次那个用我另外一个邮箱注册脸书的泰国人的事儿还没搞定呢，我去跟脸书claim说那是我的邮箱，人自动回复说不认为有盗用嫌疑。最近和脸书打交道真是够了。
100	就是可以窝在被窝，即使醒了也不起
101	L在世纪佳缘认识了一个女生，见过一次面聊了几次后就没联系了，我问他什么情况，他说，那个女生小学数学只能考30分。
